0x803d64,Name,Description,Number,Default Class,Portrait,Mini Portrait,Affinity,##UNKNOWN##,Base Level,Base HP,Base Pwr,Base Skl,Base Spd,Base Def,Base Res,Base Lck,Base Con,Sword Rank,Lance Rank,Axe Rank,Bow Rank,Staff Rank,Anima Rank,Light Rank,Dark Rank,HP Growth,Pwr Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Lck Growth,##UNKNOWN##,Attributes,Support Data Pointer,##UNKNOWN##
Eirika,0x212,0x26e,0x1,EirikaLord,0x2,0x0,6,0x1,1,0,0,0,0,0,0,5,0,WR_E,0,0,0,0,0,0,0,70,40,60,60,30,30,60,0x0,CA_FEMALE | CA_LOCK_EIRIKA,0x88aebac,0x7
Seth,0x213,0x26f,0x2,Paladin,0x4,0x0,7,0x3,1,7,7,9,5,3,5,13,0,WR_A,WR_A,0,0,0,0,0,0,90,50,45,45,40,30,25,0x0,CA_NONE,0x88aebdc,0x3
Gilliam,0x214,0x270,0x3,Knight,0x5,0x0,2,0x7,4,8,4,4,3,0,3,3,1,0,WR_C,0,0,0,0,0,0,90,45,35,30,55,20,30,0x0,CA_NONE,0x88aec0c,0x4
Franz,0x215,0x271,0x4,Cavalier,0x6,0x0,6,0x6,1,0,2,3,2,0,1,2,0,WR_E,WR_D,0,0,0,0,0,0,80,40,40,50,25,20,40,0x0,CA_NONE,0x88aebf4,0x3
Moulder,0x216,0x272,0x5,Priest,0x7,0x0,7,0x8,3,2,3,5,7,1,0,1,4,0,0,0,0,WR_C,0,0,0,70,40,50,40,25,25,20,0x0,CA_NONE,0x88aec24,0x4
Vanessa,0x217,0x273,0x6,PegasusKnight,0x8,0x0,7,0x9,1,3,1,2,6,3,3,4,0,0,WR_D,0,0,0,0,0,0,50,35,55,60,20,30,50,0x0,CA_FEMALE | CA_TRIANGLEATTACK_PEGASI,0x88aec3c,0xa
Ross,0x218,0x274,0x7,Journeyman1,0x9,0x0,1,0xa,1,1,2,2,2,2,0,8,0,0,0,WR_E,0,0,0,0,0,70,50,35,30,25,20,40,0x0,CA_NONE,0x88aec6c,0x5
Neimi,0x219,0x275,0x8,ArcherF,0xa,0x0,1,0xb,1,0,1,2,2,0,2,4,0,0,0,0,WR_D,0,0,0,0,55,45,50,60,15,35,50,0x0,CA_FEMALE,0x88aec9c,0x7
Colm,0x21a,0x276,0x9,Thief,0xc,0x0,6,0xc,2,2,1,3,1,1,1,8,0,WR_E,0,0,0,0,0,0,0,75,40,40,65,25,20,45,0x0,CA_NONE,0x88aec84,0x0
Garcia,0x21b,0x277,0xa,Fighter,0xe,0x0,1,0xd,4,8,3,5,3,3,1,3,3,0,0,WR_C,0,0,0,0,0,80,65,40,20,25,15,40,0x0,CA_NONE,0x88aec54,0x1
Innes,0x21c,0x278,0xb,Sniper,0xf,0x0,4,0x14,1,10,7,7,10,5,7,14,1,0,0,0,WR_A,0,0,0,0,75,40,40,45,20,25,45,0x0,CA_NONE,0x88aed5c,0x0
Lute,0x21d,0x279,0xc,MageF,0x10,0x0,7,0xf,1,1,5,3,5,1,1,8,0,0,0,0,0,0,WR_C,0,0,45,65,30,45,15,40,45,0x0,CA_FEMALE,0x88aeccc,0x7
Natasha,0x21e,0x27a,0xd,Cleric,0x11,0x0,4,0x10,1,2,1,2,6,2,0,6,0,0,0,0,0,WR_D,0,0,0,50,60,25,40,15,55,60,0x0,CA_FEMALE,0x88aece4,0xa
Cormag,0x21f,0x27b,0xe,WyvernRider,0x13,0x0,1,0x1f,9,10,7,6,5,4,2,4,1,0,WR_C,0,0,0,0,0,0,85,55,40,45,25,15,35,0x0,CA_NONE,0x88aee1c,0x0
Ephraim,0x220,0x27c,0xf,EphraimLord,0x14,0x0,1,0x1,4,5,2,3,4,1,2,8,0,0,WR_D,0,0,0,0,0,0,80,55,55,45,35,25,50,0x0,CA_NONE,0x88aebc4,0x3
Forde,0x221,0x27d,0x10,Cavalier,0x16,0x0,3,0x5,5,4,2,6,3,2,2,7,0,WR_D,WR_C,0,0,0,0,0,0,85,40,50,45,20,25,35,0x0,CA_NONE,0x88aed2c,0x3
Kyle,0x222,0x27e,0x11,Cavalier,0x18,0x0,4,0x4,6,5,4,4,2,3,1,6,1,WR_D,WR_C,0,0,0,0,0,0,90,50,40,40,25,20,20,0x0,CA_NONE,0x88aed14,0x3
Amelia,0x223,0x27f,0x12,Recruit1,0x19,0x0,2,0x13,1,3,1,3,3,2,2,6,0,0,WR_E,0,0,0,0,0,0,60,35,40,40,30,15,50,0x0,CA_FEMALE,0x88aee34,0x7
Artur,0x224,0x280,0x13,Monk,0x1a,0x0,4,0xe,2,1,5,5,6,1,1,2,0,0,0,0,0,0,0,WR_E,0,55,50,50,40,15,55,25,0x0,CA_NONE,0x88aecb4,0x0
Gerik,0x225,0x281,0x14,Mercenary,0x1b,0x0,2,0x15,10,14,10,5,5,6,4,8,4,WR_C,0,0,0,0,0,0,0,90,45,40,30,35,25,30,0x0,CA_NONE,0x88aed74,0x4
Tethys,0x226,0x282,0x15,Dancer,0x1c,0x0,1,0x16,1,4,0,0,5,5,3,10,1,0,0,0,0,0,0,0,0,85,5,10,70,30,75,80,0x0,CA_FEMALE,0x88aed8c,0x7
